Area_m2,Grade,Surface_Ty,Damage_Typ,Damage_Wid,Length,NSG_REFERE,NE_ID_OF,NE_DESCR,LOCALITY
158.580296,Grade 4 Functionally Impaired,HRA,"Subsidence, Patching, Ironwork Deterioration, Fretting, Cracking - Transverse, Cracking - Coarse Cracking, Cracking - Wheel Track",12.23762005,12.96170343,45801604,4744915,MERCHANTGATE,GUILDHALL
20.324856,Grade 5 Structurally Impaired,Bituminous,"Subsidence, Cracking - Wheel Track Crazing, Cracking - Crazing, Patching, Ironwork Deterioration, Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting, Chipping Loss, Potholes",3.517250241,5.7800204,45801590,4744884,MARCH STREET,GUILDHALL
141.04449,Grade 3 Mid Life,Bituminous,"Chipping Loss, Cracking - Coarse Cracking, Cracking - Wheel Track",5.146589936,27.41316873,33301052,8238147,FURNWOOD,HAXBY
13.326404,Grade 3 Mid Life,Bituminous,"Fatting, Chipping Loss",4.062351426,3.28136921,33301031,4745603,CROSSMOOR LANE,HAXBY
44.80510799,Grade 3 Mid Life,Bituminous,Chipping Loss,7.220741149,6.20680918,33301000,4744755,BRIERGATE,HAXBY
18.848845,Grade 3 Mid Life,Bituminous,Chipping Loss,5.224713745,3.60854456,45801099,4744901,NORWAY DRIVE,FISHERGATE
173.376903,Grade 3 Mid Life,Bituminous,"Patching, Cracking - Transverse, Fretting, Cracking - Coarse Cracking, Cracking - Wheel Track, Subsidence",7.696981606,22.53102407,45801394,4744853,FRANCES STREET,FISHERGATE
40.75042899,Grade 1 Free From Defects,Bituminous,,9.723065898,4.19218831,82642305,4744550,ROAD A64 FROM COPMANTHORPE JUNCTION TO NABURN LANE,COPMANTHORPE
61.564148,Not classified,,,3.429443894,17.95619299,45802077,7421125,LASTINGHAM TERRACE,FISHERGATE
18.587669,Grade 3 Mid Life,Bituminous,Chipping Loss,6.842826785,2.71713029,45802145,4744740,THE VILLAGE,HAXBY
35.65395399,Grade 1 Free From Defects,Bituminous,,5.670577603,6.28927854,33301250,4744782,WANDHILL,HAXBY
42.50544099,Grade 3 Mid Life,Bituminous,Chipping Loss,5.611846402,7.57637991,33301194,4744751,RUDDINGS CLOSE,HAXBY
43.609566,Grade 4 Functionally Impaired,Bituminous,Chipping Loss,5.962418776,7.31609542,33301194,4744751,RUDDINGS CLOSE,HAXBY
86.36715399,Grade 2 Signs of Surface Wear,Bituminous,Chipping Loss,5.35944101,16.11903712,45801099,4744901,NORWAY DRIVE,FISHERGATE
92.16704799,Grade 3 Mid Life,Bituminous,Chipping Loss,7.179617178,12.84090157,45802145,4744740,THE VILLAGE,HAXBY
75.502257,Grade 1 Free From Defects,Bituminous,,7.484457329,10.09066754,33301063,4744743,GREENSHAW DRIVE,WIGGINTON
26.271564,Grade 3 Mid Life,Bituminous,"Chipping Loss, Reinstatement",6.88115506,3.81885755,45802517,11967223,GREENFIELDS,
29.755219,Grade 3 Mid Life,Bituminous,"Chipping Loss, Cracking - Coarse Cracking, Ironwork Deterioration, Fretting",5.833748386,5.10197168,33301064,4744759,GREYSTONE COURT,HAXBY
109.678715,Grade 1 Free From Defects,Bituminous,,9.6443058,11.37530931,82642305,4744550,ROAD A64 FROM COPMANTHORPE JUNCTION TO NABURN LANE,COPMANTHORPE
184.67027,Grade 1 Free From Defects,Bituminous,,12.90921014,14.30882546,45801567,4744839,LORD MAYORS WALK,GUILDHALL
128.264052,Grade 2 Signs of Surface Wear,Bituminous,Chipping Loss,8.778398709,14.61498807,45802517,4744826,GREENFIELDS,
85.13944499,Grade 2 Signs of Surface Wear,Bituminous,Fretting - Joint,9.64039935,8.83380072,82642305,4744585,ROAD A64 FROM COPMANTHORPE JUNCTION TO NABURN LANE,COPMANTHORPE
8.492395,Grade 3 Mid Life,HRA,"Reinstatement, Patching, Ironwork Deterioration, Cracking - Longitudinal, Cracking - Wheel Track, Chipping Loss",5.195894028,1.63484877,45801780,4744833,ST ANDREWGATE,GUILDHALL
42.413916,Grade 3 Mid Life,Bituminous,"Cracking - Coarse Cracking, Cracking - Fine Cracking, Cracking - Wheel Track, Ironwork Deterioration, Chipping Loss",5.764481189,7.35970642,45802823,5578207,SHOPPING CENTRE MCARTHUR GLEN FROM ST NICHOLAS AVENUE,
16.819606,Grade 1 Free From Defects,Bituminous,,7.282484804,2.31024855,33301163,4744688,OAKEN GROVE,HAXBY
88.534599,Grade 4 Functionally Impaired,Bituminous,Chipping Loss,16.07308662,5.50965801,34200312,4744892,ATCHERLEY CLOSE,FULFORD
26.897503,Grade 3 Mid Life,Bituminous,"Reinstatement, Cracking - Coarse Cracking, Cracking - Wheel Track",7.504622514,3.58513814,33301161,4744756,OAK TREE LANE,HAXBY
57.924407,Grade 4 Functionally Impaired,Bituminous,"Fretting, Ironwork Deterioration, Chipping Loss",10.85645802,5.33698813,33301201,4744744,SANDY GAP,HAXBY
22.907716,Grade 3 Mid Life,Bituminous,Chipping Loss,4.818038587,4.75591681,33301007,4744735,CALVERT CLOSE,HAXBY
82.00987999,Grade 1 Free From Defects,Bituminous,,10.49214041,7.81823508,45801567,4744794,LORD MAYORS WALK,GUILDHALL
18.351893,Grade 3 Mid Life,Bituminous,"Patching, Fretting, Cracking - Coarse Cracking, Cracking - Wheel Track",4.576811033,4.01072869,45801123,4744830,ABBOT STREET,GUILDHALL
42.241253,Grade 4 Functionally Impaired,Bituminous,"Cracking - Arc Cracking, Subsidence, Fretting, Chipping Loss, Ironwork Deterioration",7.839132808,5.39000457,33301063,4744678,GREENSHAW DRIVE,WIGGINTON
17.513389,Grade 3 Mid Life,HRA,"Cracking - Crazing, Cracking - Wheel Track Crazing, Subsidence, Patching, Fretting, Chipping Loss",5.727997311,3.05828055,45801798,4744829,ST SAVIOURGATE,GUILDHALL
17.966944,Not classified,,,5.029784758,3.57301376,45801387,4744871,FOSSGATE,GUILDHALL
33.995524,Grade 3 Mid Life,Bituminous,"Fretting - Joint, Cracking - Wheel Track, Cracking - Transverse, Chipping Loss",6.002345379,5.6651375,45801841,4744814,TOWER STREET,GUILDHALL
10.199821,Grade 3 Mid Life,Bituminous,"Patching, Ironwork Deterioration, Chipping Loss, Cracking - Fine Cracking",4.271708144,2.3883548,45801780,4744818,ST ANDREWGATE,GUILDHALL
16.26812599,Grade 4 Functionally Impaired,Bituminous,"Fretting, Chipping Loss, Patching, Subsidence, Edge Break or Scour, Potholes",3.759832451,4.32794561,34200132,4744589,HOWDEN LANE,NABURN
71.020733,Grade 3 Mid Life,Bituminous,"Fatting, Fretting - Joint",5.308749182,13.38151271,34200365,4744885,NABURN LANE,FULFORD
17.938904,Grade 3 Mid Life,Bituminous,"Chipping Loss, Fretting",5.526725002,3.24667217,45801099,4744841,NORWAY DRIVE,FISHERGATE
76.188939,Grade 3 Mid Life,HRA,"Fretting, Fretting - Joint, Chipping Loss, Cracking - Wheel Track, Cracking - Coarse Cracking",7.603925351,10.02222833,45801499,7417465,HOSPITAL FIELDS ROAD,FISHERGATE
